,id,title,summary,category,date,refrence,link
0,365715,ابلاغیه جدید درباره قیمت نان,به گفته رئیس کارگروه آرد و نان قیمت نان‌های سنتی در استان‌های قم، خراسان‌رضوی، همدان، گیلان و… افزایش یافته و تغییر نرخ در سایر استان‌ها از جمله تهران تا…,اقتصادی,1404-04-21 11:30:16+0330,Reference object (5),https://www.afkarnews.com/بخش-گوگل-نیوز-188/1324076-ابلاغیه-جدید-درباره-قیمت-نان
1,365716,گردش مالی نجومی چند شرکت صوری متعلق به اتباع خارجی,رئیس مرکز اطلاعات مالی از شناسایی ۵۶ شرکت مشکوک به فعالیت صوری با مالکیت ۱۰۰ درصدی اتباع خارجی با گردش مالی بالغ‌بر ۴۳۳ هزار میلیارد تومان طی دو سال اخیر خبر داد.,اقتصادی,1404-04-21 11:30:32+0330,Reference object (8),https://www.eghtesadonline.com/fa/news/2072056/گردش-مالی-نجومی-چند-شرکت-صوری-متعلق-به-اتباع-خارجی
2,365718,بنگاه‌ها چگونه کارکنان خود را حفظ کنند؟,فظ کارکنان تحت تاثیر هر چیزی است که یک فرد ممکن است در مورد یک شغل دوست داشته یا نداشته باشد، مانند حقوق،,اقتصادی,1404-04-21 11:26:00+0330,Reference object (9),https://www.eghtesadnews.com/بخش-اخبار-اقتصادی-67/730335-بنگاه-ها-چگونه-کارکنان-خود-را-حفظ-کنند
3,365719,سخنگوی قوه قضاییه: شبکه‌های دشمن در داخل شناسایی شدند,قضاییسخنگوی قوه قضاییه گفت: شبکه‌های دشمن در داخل شناسایی شدند و ان شاءالله با پیگیری‌های دقیق اطلاعات خوبی را در آینده به ملت شریف می‌رسانیم.,اجتماعی,1404-04-21 11:14:00+0330,Reference object (2),https://www.khabaronline.ir/news/2088661/سخنگوی-قوه-قضاییه-شبکه-های-دشمن-در-داخل-شناسایی-شدند
4,365720,نگاه شهرداری تهران به موضوع مدیریت بحران، واکنشی نیست,معاون هماهنگی و امور مناطق شهرداری تهران در نشست قرارگاه مردمی ایران از حمایت کامل و ارائه خدمات ویژه شهرداری تهران از مردم آسیب‌دیده جنگ تحمیلی ۱۲ روزه خبر داد.,اجتماعی,1404-04-21 11:16:00+0330,Reference object (4),https://www.mashreghnews.ir/news/1732081/نگاه-شهرداری-تهران-به-موضوع-مدیریت-بحران-واکنشی-نیست
5,365721,محاکمه تعدادی از رابطان رژیم صهیونیستی آغاز شد؛ اعتراف صریح برخی متهمان به همکاری با اسرائیل,سخنگوی قوه قضائیه گفت: پرونده‌های متعددی در دست رسیدگی است که برخی از آن‌ها وارد فاز محاکمه شده‌اند و در برخی، احکام قضائی صادر شده است. در برخی پرونده‌ها، متهمان به صراحت به همکاری با رژیم صهیونیستی و اقدام علیه امنیت ملی اعتراف کرده‌اند.,اجتماعی,1404-04-21 11:23:04.593696+0330,Reference object (3),https://www.tasnimnews.com/fa/news/1404/04/21/3352718/محاکمه-تعدادی-از-رابطان-رژیم-صهیونیستی-آغاز-شد-اعتراف-صریح-برخی-متهمان-به-همکاری-با-اسرائیل
6,365723,شهادت کوچکترین اسیر سابق فلسطینی در نوار غزه,کوچک‌ترین اسیر سابق فلسطینی که در زندان‌های رژیم صهیونیستی به دنیا آمده بود، در پی حملات امروز این رژیم علیه غزه به شهادت رسید.,بین‌_الملل,1404-04-21 11:22:00+0330,Reference object (4),https://www.mashreghnews.ir/news/1732097/شهادت-کوچکترین-اسیر-سابق-فلسطینی-در-نوار-غزه
7,365724,گزارش هاآرتص از بحران آوارگی در نتیجه حمله ایران,روزنامه عبری هاآرتص در مصاحبه با تعدادی از شهرک‌نشینان صهیونیست که در نتیجه حملات ایران آواره شده‌اند، گزارش داد که اسرائیلی‌ها همچنان از بحران اقتصادی و روانی گسترده ناشی از حملات ایران رنج می‌برند اما کابینه توجه کافی به وضعیت آنها ندارد.,بین‌_الملل,1404-04-21 11:19:00+0330,Reference object (4),https://www.mashreghnews.ir/news/1732096/گزارش-هاآرتص-از-بحران-آوارگی-در-نتیجه-حمله-ایران
8,365717,قیمت دینار عراق امروز شنبه  21 تیر 1404,دینار عراق، امروز به ۶۷ (شصت و هفت ) تومان رسید.,اقتصادی,1404-04-21 11:28:00+0330,Reference object (9),https://www.eghtesadnews.com/بخش-اخبار-طلا-ارز-40/730333-قیمت-دینار-عراق-امروز-شنبه-تیر
9,365725,پاکستان: روابط رسمی دیپلماتیک با افغانستان از سال ۲۰۲۱ قطع است,وزیر خارجه پاکستان در نشست منطقه‌ای کوالالامپور اعلام کرد که از زمان بازگشت حکومت طالبان به قدرت در افغانستان، هیچ رابطه رسمی دیپلماتیکی میان دو کشور برقرار نبوده است.,بین‌_الملل,1404-04-21 11:23:06.865756+0330,Reference object (3),https://www.tasnimnews.com/fa/news/1404/04/21/3352682/پاکستان-روابط-رسمی-دیپلماتیک-با-افغانستان-از-سال-2021-قطع-است
10,365726,سال بعد همه سیدورف به تیم‌هایشان می‌آورند!,لیگ برترعلی نظری جویباری می‌گوید همکاری باشگاه استقلال با کلارنس سیدورف کاملا هدفمند است.,ورزشی,1404-04-21 11:27:00+0330,Reference object (2),https://www.khabaronline.ir/news/2088647/سال-بعد-همه-سیدورف-به-تیم-هایشان-می-آورند
11,365727,والیبال زیر ۱۶ سال آسیا| ایران از سد اندونزی گذشت,تیم والیبال زیر ۱۶ سال ایران در نخستین دیدار خود از مسابقات قهرمانی آسیا مقابل اندونزی به پیروزی رسید.,ورزشی,1404-04-21 11:30:04.596040+0330,Reference object (3),https://www.tasnimnews.com/fa/news/1404/04/21/3352588/والیبال-زیر-16-سال-آسیا-ایران-از-سد-اندونزی-گذشت
12,365728,رونمایی از طرح توپ‌های فصل جدید لیگ قهرمانان اروپا + عکس,طرح توپ‌های فصل جدید مسابقات لیگ قهرمانان اروپا لو رفت.,ورزشی,1404-04-21 11:30:04.596040+0330,Reference object (3),https://www.tasnimnews.com/fa/news/1404/04/21/3352706/رونمایی-از-طرح-توپ-های-فصل-جدید-لیگ-قهرمانان-اروپا-عکس
13,365729,من بهترین مدافع چپ دنیای فوتبال نیستم,نونو مندس آماده است تا بار دیگر در دیدار برابر چلسی برای کسب پیروزی به پاری سن ژرمن کمک کند.,ورزشی,1404-04-21 07:57:16+0330,Reference object (6),https://www.varzesh3.com/news/2138410/من-بهترین-مدافع-چپ-دنیای-فوتبال-نیستم
14,365730,حسین زاده: هرگز جلوی استقلال خوشحالی نمی‌کنم,مهاجم تیم فوتبال تراکتور درباره دیدار برگشت مقابل استقلال در فصلی که گذشت صحبت جالبی مطرح کرد.,ورزشی,1404-04-21 07:57:15+0330,Reference object (6),https://www.varzesh3.com/news/2138409/حسین-زاده-هرگز-جلوی-استقلال-خوشحالی-نمی-کنم
15,365731,بهروز عطایی و یک اعتراف تلخ: این کارم اشتباه بود,سرمربی سابق تیم ملی والیبال ایران به یکی از اشتباهاتش اعتراف کرد.,ورزشی,1404-04-21 07:54:45+0330,Reference object (6),https://www.varzesh3.com/news/2138408/بهروز-عطایی-و-یک-اعتراف-تلخ-این-کارم-اشتباه-بود
16,365732,اعتراف دورسون: هم پول دادم هم فحش خوردم!,سردار دورسون با یک اقدام مالی جنجالی مورد اتهام باشگاه تازه صعود کرده سوپرلیگ ترکیه شده است.,ورزشی,1404-04-21 07:54:01+0330,Reference object (6),https://www.varzesh3.com/news/2138407/اعتراف-دورسون-هم-پول-دادم-هم-فحش-خوردم
17,365734,تغییرات گسترده در انتظار ترکیب شمس آذر,مدیرعامل باشگاه شمس آذر از خروج حدود نیمی از بازیکنان تیم در پایان فصل گذشته خبر داد.,ورزشی,1404-04-21 11:30:16+0330,Reference object (5),https://www.afkarnews.com/بخش-ورزشی-7/1324070-تغییرات-گسترده-در-انتظار-ترکیب-شمس-آذر
18,365733,پاسخ سردار دورسون به اتهام پرداخت رشوه,سردار دورسون مهاجم ترکیه ای پرسپولیس، به اتعام رشوه علیه او واکنش نشان داد.,ورزشی,1404-04-21 11:30:16+0330,Reference object (5),https://www.afkarnews.com/بخش-ورزشی-7/1324072-پاسخ-سردار-دورسون-به-اتهام-پرداخت-رشوه
19,365735,توافق پرسپولیس و گندوز برای جدایی!,باشگاه پرسپولیس دنبال توافق با الکسی گندوز برای فسخ قرارداد این دروازه بان الجزایری است.,ورزشی,1404-04-21 11:30:16+0330,Reference object (5),https://www.afkarnews.com/بخش-ورزشی-7/1324069-توافق-پرسپولیس-گندوز-برای-جدایی
